entry_date,exit_date,code,prob,actual,return,correct
2026-02-06,2026-02-11,007590,0.9476,1,0.01,1
2026-02-06,2026-02-11,023150,0.9054,1,0.01,1
2026-02-06,2026-02-11,006060,0.9037,1,0.01,1
2026-02-06,2026-02-11,014130,0.9023,1,0.01,1
2026-02-06,2026-02-11,024070,0.8886,1,0.01,1
2026-02-06,2026-02-11,004450,0.8881,1,0.01,1
2026-02-06,2026-02-11,002840,0.8859,1,0.061834,1
2026-02-06,2026-02-11,003920,0.8777,1,0.01,1
2026-02-06,2026-02-11,011330,0.8715,1,0.01,1
2026-02-06,2026-02-11,000480,0.8697,1,0.01,1
2026-02-06,2026-02-11,000080,0.8663,1,0.01,1
2026-02-06,2026-02-11,015260,0.8637,1,0.01,1
2026-02-06,2026-02-11,010040,0.8484,1,0.01,1
2026-02-06,2026-02-11,006890,0.8483,1,0.01,1
2026-02-06,2026-02-11,006370,0.8459,1,0.086,1
2026-02-06,2026-02-11,002070,0.8408,1,0.010619,1
2026-02-06,2026-02-11,003220,0.8398,1,0.01,1
2026-02-06,2026-02-11,002820,0.8363,1,0.041754,1
2026-02-06,2026-02-11,003030,0.8362,1,0.01,1
2026-02-06,2026-02-11,010640,0.8349,1,0.01,1
2026-02-06,2026-02-11,033250,0.8276,1,0.01,1
2026-02-06,2026-02-11,006840,0.8235,1,0.069767,1
2026-02-06,2026-02-11,014160,0.8167,1,0.01,1
2026-02-06,2026-02-11,009410,0.816,1,0.01,1
2026-02-06,2026-02-11,003230,0.8132,1,0.1,1
2026-02-06,2026-02-11,016580,0.8092,1,0.01,1
2026-02-06,2026-02-11,007310,0.804,1,0.01,1
2026-02-06,2026-02-11,017550,0.7974,1,0.01,1
2026-02-06,2026-02-11,004250,0.7923,1,0.01847,1
2026-02-06,2026-02-11,036420,0.7912,1,0.01,1
2026-02-06,2026-02-11,003060,0.7897,0,-0.031579,0
2026-02-06,2026-02-11,009580,0.7881,1,0.01,1
2026-02-06,2026-02-11,004430,0.7857,1,0.042623,1
2026-02-06,2026-02-11,001420,0.783,1,0.01,1
2026-02-06,2026-02-11,020560,0.7822,1,0.01,1
2026-02-06,2026-02-11,026940,0.7793,1,0.01,1
2026-02-06,2026-02-11,004910,0.7788,1,0.01,1
2026-02-06,2026-02-11,035150,0.7729,1,0.028422,1
2026-02-06,2026-02-11,051900,0.7729,1,0.038241,1
2026-02-06,2026-02-11,007280,0.7631,1,0.01,1
2026-02-06,2026-02-11,006200,0.7625,1,0.028232,1
2026-02-06,2026-02-11,001550,0.7596,1,0.114094,1
2026-02-06,2026-02-11,034120,0.758,1,0.01,1
2026-02-06,2026-02-11,007110,0.7559,0,-0.01,0
2026-02-06,2026-02-11,025750,0.7437,1,0.01,1
2026-02-06,2026-02-11,007210,0.7433,1,0.117916,1
2026-02-06,2026-02-11,009450,0.7427,1,0.050676,1
2026-02-06,2026-02-11,016880,0.7353,1,0.177928,1
2026-02-06,2026-02-11,005870,0.7318,0,-0.01,0
2026-02-06,2026-02-11,004490,0.7243,1,0.01,1
2026-02-06,2026-02-11,014910,0.7238,1,0.01,1
2026-02-06,2026-02-11,011070,0.7204,1,0.01,1
2026-02-06,2026-02-11,011090,0.7159,1,0.01,1
2026-02-06,2026-02-11,000140,0.7126,1,0.01,1
2026-02-06,2026-02-11,000210,0.7123,1,0.01,1
2026-02-06,2026-02-11,033270,0.7109,1,0.01,1
2026-02-06,2026-02-11,003680,0.7103,1,0.01,1
2026-02-06,2026-02-11,023000,0.7103,1,0.01,1
2026-02-06,2026-02-11,004370,0.7102,1,0.04881,1
2026-02-06,2026-02-11,016090,0.71,1,0.01,1
2026-02-06,2026-02-11,003830,0.7093,1,0.01,1
2026-02-06,2026-02-11,018250,0.7074,1,0.044562,1
2026-02-06,2026-02-11,005610,0.7064,1,0.01,1
2026-02-06,2026-02-11,012690,0.7053,1,0.01,1
2026-02-06,2026-02-11,021240,0.7011,1,0.102302,1
2026-02-06,2026-02-11,027410,0.7005,1,0.01,1
2026-02-06,2026-02-11,004920,0.6994,1,0.055856,1
2026-02-06,2026-02-11,003960,0.6989,1,0.028571,1
2026-02-06,2026-02-11,023350,0.6988,1,0.01,1
2026-02-06,2026-02-11,004540,0.6951,1,0.01,1
2026-02-06,2026-02-11,006740,0.6935,1,0.01,1
2026-02-06,2026-02-11,024110,0.6935,1,0.086957,1
2026-02-06,2026-02-11,002390,0.6929,1,0.01,1
2026-02-06,2026-02-11,006040,0.6896,1,0.01,1
2026-02-06,2026-02-11,034220,0.689,1,0.01,1
2026-02-06,2026-02-11,006360,0.6865,1,0.148613,1
2026-02-06,2026-02-11,006090,0.6861,1,0.01,1
2026-02-06,2026-02-11,005010,0.6857,1,0.01,1
2026-02-06,2026-02-11,035000,0.6837,1,0.01,1
2026-02-06,2026-02-11,003520,0.6833,1,0.01,1
2026-02-06,2026-02-11,009460,0.6824,0,-0.02277,0
2026-02-06,2026-02-11,000970,0.6801,1,0.01,1
2026-02-06,2026-02-11,000100,0.6795,1,0.01,1
2026-02-06,2026-02-11,024900,0.6739,1,0.01,1
2026-02-06,2026-02-11,035720,0.6737,1,0.01,1
2026-02-06,2026-02-11,002320,0.6727,1,0.01,1
2026-02-06,2026-02-11,015020,0.6708,0,-0.01,0
2026-02-06,2026-02-11,035250,0.6688,1,0.048615,1
2026-02-06,2026-02-11,000180,0.6677,1,0.01,1
